Sl.No,College_Name,Country,Rank,Fees,Avg Package,ROI,Australia,Canada,Germany,United Kingdom,United states
1,Massachusetts Institute of Technology (MIT),United states,1,62000,170000,2.741935484,0,0,0,0,1
2,Stanford University,United states,2,85000,185000,2.176470588,0,0,0,0,1
3,Carnegie Mellon University,United states,3,60000,150000,2.5,0,0,0,0,1
4,Harvard University,United states,7,58000,145000,2.5,0,0,0,0,1
5,"University of California, Berkeley (UCB)",United states,8,45000,150000,3.333333333,0,0,0,0,1
6,Princeton University,United states,13,57000,135000,2.368421053,0,0,0,0,1
7,"University of California, Los Angeles (UCLA)",United states,16,40000,130000,3.25,0,0,0,0,1
8,New York University (NYU),United states,17,39000,110000,2.820512821,0,0,0,0,1
9,Cornell University,United states,18,30000,120000,4,0,0,0,0,1
10,University of Washington,United states,19,40000,120000,3,0,0,0,0,1
11,Yale University,United states,26,50000,120000,2.4,0,0,0,0,1
12,Columbia University,United states,27,59000,160000,2.711864407,0,0,0,0,1
13,University of Illinois at Urbana-Champaign,United states,34,40000,110000,2.75,0,0,0,0,1
14,"University of California, San Diego (UCSD)",United states,37,38000,115000,3.026315789,0,0,0,0,1
15,Georgia Institute of Technology,United states,40,24000,120000,5,0,0,0,0,1
16,University of Michigan-Ann Arbor,United states,41,45000,125000,2.777777778,0,0,0,0,1
17,University of Pennsylvania,United states,41,50000,140000,2.8,0,0,0,0,1
18,University of Texas at Austin,United states,41,45000,120000,2.666666667,0,0,0,0,1
19,University of Southern California,United states,49,61000,125000,2.049180328,0,0,0,0,1
20,University of Chicago,United states,50,62000,130000,2.096774194,0,0,0,0,1
21,California Institute of Technology (Caltech),United states,52,60000,160000,2.666666667,0,0,0,0,1
22,Johns Hopkins University,United states,66,58000,125000,2.155172414,0,0,0,0,1
23,Duke University,United states,72,60000,130000,2.166666667,0,0,0,0,1
24,Purdue University,United states,73,40000,110000,2.75,0,0,0,0,1
25,"University of Maryland, College Park",United states,74,40000,110000,2.75,0,0,0,0,1
26,Pennsylvania State University,United states,102,38000,110000,2.894736842,0,0,0,0,1
27,Boston University,United states,107,60000,115000,1.916666667,0,0,0,0,1
28,Brown University,United states,107,65000,135000,2.076923077,0,0,0,0,1
29,University of Wisconsin-Madison,United states,110,44000,110000,2.5,0,0,0,0,1
30,Northwestern University,United states,118,60000,125000,2.083333333,0,0,0,0,1
31,"University of California, Irvine",United states,122,38000,115000,3.026315789,0,0,0,0,1
32,University of Massachusetts Amherst,United states,127,40000,110000,2.75,0,0,0,0,1
33,Arizona State University,United states,134,30000,100000,3.333333333,0,0,0,0,1
34,Michigan State University,United states,136,40000,100000,2.5,0,0,0,0,1
35,Texas A&M University,United states,146,40000,110000,2.75,0,0,0,0,1
36,Virginia Polytechnic Institute and State University,United states,149,42000,100000,2.380952381,0,0,0,0,1
37,The Ohio State University,United states,156,39000,110000,2.820512821,0,0,0,0,1
38,University of Florida,United states,161,30000,100000,3.333333333,0,0,0,0,1
39,"University of North Carolina, Chapel Hill",United states,172,40000,110000,2.75,0,0,0,0,1
40,University of Illinois at Chicago (UIC),United states,184,35000,100000,2.857142857,0,0,0,0,1
41,Rutgers University–New Brunswick,United states,188,42000,100000,2.380952381,0,0,0,0,1
42,Indiana University Bloomington,United states,191,40000,100000,2.5,0,0,0,0,1
43,Northeastern University,United states,197,55000,115000,2.090909091,0,0,0,0,1
44,North Carolina State University,United states,201-250,34000,100000,2.941176471,0,0,0,0,1
45,Rice University,United states,201-250,54000,120000,2.222222222,0,0,0,0,1
46,"University of California, Davis",United states,201-250,38000,115000,3.026315789,0,0,0,0,1
47,"University of California, Santa Barbara (UCSB)",United states,201-250,38000,115000,3.026315789,0,0,0,0,1
48,University of Minnesota Twin Cities,United states,201-250,36000,110000,3.055555556,0,0,0,0,1
49,University of Virginia,United states,201-250,40000,115000,2.875,0,0,0,0,1
50,University of Pittsburgh,United states,251-300,40000,100000,2.5,0,0,0,0,1
51,University of Texas Dallas,United states,251-300,38000,105000,2.763157895,0,0,0,0,1
52,George Washington University,United states,301-350,58000,110000,1.896551724,0,0,0,0,1
53,Illinois Institute of Technology,United states,301-350,35000,95000,2.714285714,0,0,0,0,1
54,The University of Arizona,United states,301-350,33000,95000,2.878787879,0,0,0,0,1
55,University of Central Florida,United states,301-350,28000,90000,3.214285714,0,0,0,0,1
56,University of Notre Dame,United states,301-350,60000,120000,2,0,0,0,0,1
57,University of Rochester,United states,301-350,58000,110000,1.896551724,0,0,0,0,1
58,University of Utah,United states,301-350,30000,95000,3.166666667,0,0,0,0,1
59,Vanderbilt University,United states,301-350,60000,120000,2,0,0,0,0,1
60,Georgia State University,United states,351-400,28000,85000,3.035714286,0,0,0,0,1
61,Iowa State University,United states,351-400,29000,90000,3.103448276,0,0,0,0,1
62,"Stony Brook University, State University of New York",United states,351-400,30000,95000,3.166666667,0,0,0,0,1
63,University at Buffalo SUNY,United states,351-400,30000,95000,3.166666667,0,0,0,0,1
64,University of Colorado Boulder,United states,351-400,38000,100000,2.631578947,0,0,0,0,1
65,Washington State University,United states,351-400,30000,90000,3,0,0,0,0,1
66,Washington University in St. Louis,United states,351-400,60000,120000,2,0,0,0,0,1
67,Case Western Reserve University,United states,401-450,52000,105000,2.019230769,0,0,0,0,1
68,Dartmouth College,United states,401-450,60000,130000,2.166666667,0,0,0,0,1
69,Emory University,United states,401-450,58000,110000,1.896551724,0,0,0,0,1
70,Florida State University,United states,401-450,28000,90000,3.214285714,0,0,0,0,1
71,University of Houston,United states,401-450,32000,90000,2.8125,0,0,0,0,1
72,Temple University,United states,451-500,30000,90000,3,0,0,0,0,1
73,"University of California, Riverside",United states,451-500,38000,95000,2.5,0,0,0,0,1
74,City University of New York,United states,501-550,25000,85000,3.4,0,0,0,0,1
75,Florida International University,United states,501-550,28000,85000,3.035714286,0,0,0,0,1
76,George Mason University,United states,501-550,32000,90000,2.8125,0,0,0,0,1
77,Georgetown University,United states,501-550,60000,120000,2,0,0,0,0,1
78,Rensselaer Polytechnic Institute,United states,501-550,57000,115000,2.01754386,0,0,0,0,1
79,Rochester Institute of Technology (RIT),United states,501-550,52000,105000,2.019230769,0,0,0,0,1
80,Syracuse University,United states,501-550,54000,105000,1.944444444,0,0,0,0,1
81,"University of California, Santa Cruz",United states,501-550,38000,95000,2.5,0,0,0,0,1
82,University of South Carolina,United states,501-550,30000,90000,3,0,0,0,0,1
83,University of South Florida,United states,501-550,30000,90000,3,0,0,0,0,1
84,The University of Texas at Arlington,United states,551-600,30000,90000,3,0,0,0,0,1
85,University of Kentucky,United states,551-600,32000,90000,2.8125,0,0,0,0,1
86,"University of Missouri, Columbia",United states,551-600,30000,90000,3,0,0,0,0,1
87,Binghamton University SUNY,United states,601-650,30000,95000,3.166666667,0,0,0,0,1
88,Texas Tech University,United states,601-650,28000,90000,3.214285714,0,0,0,0,1
89,The University of Georgia,United states,601-650,32000,95000,2.96875,0,0,0,0,1
90,University of Cincinnati,United states,601-650,30000,90000,3,0,0,0,0,1
91,"University of Maryland, Baltimore County",United states,601-650,30000,90000,3,0,0,0,0,1
92,College of William and Mary,United states,651-700,36000,95000,2.638888889,0,0,0,0,1
93,Drexel University,United states,651-700,55000,105000,1.909090909,0,0,0,0,1
94,"The University of Tennessee, Knoxville",United states,651-700,30000,90000,3,0,0,0,0,1
95,Tufts University,United states,651-700,60000,120000,2,0,0,0,0,1
96,University of Oregon,United states,651-700,32000,90000,2.8125,0,0,0,0,1
97,Colorado State University,United states,701-750,32000,90000,2.8125,0,0,0,0,1
98,Louisiana State University,United states,701-750,28000,90000,3.214285714,0,0,0,0,1
99,New Jersey Institute of Technology (NJIT),United states,701-750,34000,95000,2.794117647,0,0,0,0,1
100,The University of Alabama,United states,701-750,30000,90000,3,0,0,0,0,1
101,University of Connecticut,United states,701-750,34000,95000,2.794117647,0,0,0,0,1
102,University of Delaware,United states,701-750,34000,95000,2.794117647,0,0,0,0,1
103,University of Hawai?i at M?noa,United states,701-750,34000,85000,2.5,0,0,0,0,1
104,University of Miami,United states,701-750,54000,105000,1.944444444,0,0,0,0,1
105,University of North Carolina at Charlotte,United states,701-750,30000,90000,3,0,0,0,0,1
106,University of Oklahoma,United states,701-750,30000,90000,3,0,0,0,0,1
107,Brigham Young University,United states,751-850,25000,90000,3.6,0,0,0,0,1
108,Florida Atlantic University - Boca Raton,United states,751-850,27000,85000,3.148148148,0,0,0,0,1
109,Lehigh University,United states,751-850,55000,110000,2,0,0,0,0,1
110,Missouri University of Science and Technology,United states,751-850,30000,90000,3,0,0,0,0,1
111,Oregon State University,United states,751-850,32000,90000,2.8125,0,0,0,0,1
112,Stevens Institute of Technology,United states,751-850,58000,115000,1.982758621,0,0,0,0,1
113,University of Iowa,United states,751-850,30000,90000,3,0,0,0,0,1
114,University of Massachusetts Boston,United states,751-850,30000,90000,3,0,0,0,0,1
115,University of Nebraska - Lincoln,United states,751-850,30000,90000,3,0,0,0,0,1
116,University of Nevada - Las Vegas,United states,751-850,30000,85000,2.833333333,0,0,0,0,1
117,University of Texas at San Antonio,United states,751-850,30000,90000,3,0,0,0,0,1
118,Wayne State University,United states,751-850,28000,85000,3.035714286,0,0,0,0,1
119,Worcester Polytechnic Institute,United states,751-850,55000,110000,2,0,0,0,0,1
